time,volume,open
1600920000000,165.58891308,325.44
1600920060000,118.10614539,327.19552746
1600920120000,57.56705944,326.74
1600920180000,101.57393933,326.29
1600920240000,57.30980103,326.52
1600920300000,20.01970278,326.11
1600920360000,56.87378421,325.91669743
1600920420000,1.23057991,325.85312625
1600920480000,21.82942591,325.79
1600920540000,64.19143062,325.65
1600920600000,7.30289955,325.29369992
1600920660000,15.966794879999998,325.79
1600920720000,8.05758831,325.71
1600920780000,5.60072532,325.39
1600920840000,7.1928000800000005,325.44
1600920960000,17.00719992,325.37
1600921020000,4.86492476,325.36152833
1600921080000,0.04,325.85114439
1600921140000,6.2,325.99
1600921200000,6.1623787000000005,326.05751497
1600921260000,3.69742722,325.85114439
1600921320000,63.30613296,326.05
1600921380000,5.25,326.59
1600921440000,30.0,326.58
1600921500000,70.257315,326.43402065
1600921560000,0.171326,326.41
1600921620000,9.61151646,326.36
1600921680000,0.2184,326.36
1600921740000,6.2,326.42
1600921800000,49.19687103,326.37820516
1600921860000,142.24578795,325.79965493
1600921920000,55.64635905,325.35
1600921980000,0.36548309999999995,325.3
1600922100000,12.48255134,325.32770504
1600922160000,0.053,325.3
1600922220000,72.78295118,325.3
1600922280000,33.72,325.14
1600922340000,12.44501,325.04
1600922400000,0.04,325.07
1600922460000,50.1013995,325.07
1600922520000,36.4451,324.69
1600922580000,2.0,324.69356827
1600922640000,36.3699,324.66
1600922700000,2.8390077000000002,324.66
1600922760000,9.05,324.66
1600922820000,0.05,324.82312629
1600922880000,0.15000000000000002,324.95014428
1600922940000,45.8706972,324.83
1600923000000,47.49695,324.86123168
1600923120000,30.0,324.72151189
1600923180000,12.49222352,324.94
1600923240000,8.119000000000002,325.12
1600923300000,5.71369999,325.26
1600923360000,37.19799554,325.5
1600923420000,0.49200000000000005,324.9
1600923480000,0.1,324.72
1600923540000,12.15,325.01
1600923600000,9.18,324.85330308
1600923660000,6.720038400000001,325.34
1600923720000,2.21664384,324.75169513
1600923780000,12.4417395,324.75169513
1600923840000,0.05,324.76439612
1600923900000,23.40526405,324.98031301
1600923960000,10.40835814,325.27
1600924080000,10.0,324.93
1600924140000,6.25,325.07
1600924200000,0.65712291,325.24703387
1600924260000,1.25,324.9
1600924320000,0.6324538000000001,325.33594082
1600924380000,0.691138,325.1
1600924500000,0.23621782,325.5
1600924560000,36.59547,325.67
1600924620000,17.44,325.45
1600924680000,35.2,325.21
1600924740000,7.046,324.95
1600924800000,5.7029999999999985,325.4
1600924860000,27.0,325.41
1600924920000,1.9,325.50541929999997
1600924980000,40.0,325.3536641
1600925100000,22.236434,325.76827599999996
1600925160000,8.05,325.85
1600925220000,4.5,325.85
1600925280000,2.835,325.84
1600925340000,6.2,325.83
1600925400000,30.811367999999998,325.77280581
1600925460000,107.94259741,326.16174862
1600925520000,244.0176,326.06959887
1600925580000,47.369,325.88
1600925640000,56.68464027,325.92972488
1600925700000,11.63720949,325.65
1600925760000,11.72190619,325.91
1600925820000,0.2,325.70825772
1600925880000,15.1,325.80150705
1600925940000,1.56389179,325.70825772
1600926000000,42.50725,325.57
1600926060000,14.77245457,325.43
1600926120000,22.744203,325.37
1600926240000,8.44808809,325.37
1600926300000,47.6722408,325.03
1600926360000,467.3,324.66
1600926420000,0.05,324.6
1600926480000,11.39231074,324.81
1600926540000,26.0,324.80402548
1600926600000,18.6,324.83
1600926660000,67.71930901,324.81673051
1600926720000,6.1,324.94
1600926780000,2.6059,324.92
1600926840000,1.0,324.91
1600926900000,6.1,324.94
1600926960000,3.025,325.19
1600927080000,17.57482715,325.51
1600927140000,0.5191914000000001,325.62
1600927200000,0.025,325.75
1600927260000,7.06976269,325.85
1600927320000,23.0,326.06
1600927380000,1.0,326.15754136
1600927440000,455.62763891,326.25
1600927500000,108.61812420000001,326.25
1600927560000,406.65441519,326.14164814
1600927620000,25.8,326.44659592
1600927680000,5.465,326.32
1600927860000,0.32,326.5
1600927920000,10.58118,326.5
